"Image","POWER8 LE","POWER8 BE","POWER9 LE"
"CentOS 7","x","x","x"
"Debian 8","x","x",""
"Debian 9","x","","x"
"Debian 10","x","","x"
"Fedora 29","x","","x"
"Fedora 30","x","","x"
"OpenSUSE 13","x","x",""
"OpenSUSE Leap 15","x","","x"
"OpenSUSE Leap 42","x","",""
"Ubuntu 14.04","x","x",""
"Ubuntu 16.04","","x",""
"Ubuntu 18.04","x","","x"
